region_id,note_count,region_name
2,6,Region_AHAAY
36,22,Region_AHRWY
81,18,Region_AOBRB
8,11,Region_ASUFU
66,11,Region_AUWGB
73,9,Region_BTHCF
99,11,Region_CCQUQ
95,22,Region_CPDQY
21,26,Region_DBQQD
50,6,Region_DKIND
62,32,Region_EJRQD
93,8,Region_ERKOD
96,9,Region_ESLRX
63,17,Region_EXVIF
44,11,Region_FYBCO
84,33,Region_GEFTZ
80,12,Region_GULPQ
41,9,Region_HEEIV
23,11,Region_HHXBS
13,27,Region_HJFQH
87,18,Region_HUSXY
28,15,Region_ICNDN
40,18,Region_IPEFY
92,12,Region_JSKEP
7,9,Region_JZMGP
51,14,Region_KYCBK
15,45,Region_LHBMY
17,38,Region_LHOJR
32,4,Region_LNYPI
67,7,Region_MRHPP
6,21,Region_MTLZS
11,52,Region_MXXPI
53,10,Region_NEYEL
9,27,Region_OFDLA
56,17,Region_PFAEL
71,12,Region_PJTJV
39,65,Region_PKEVQ
57,23,Region_PNOHF
37,10,Region_PPBSJ
46,10,Region_QAKVN
61,35,Region_RJSFG
72,18,Region_SFGOV
35,11,Region_SJXVF
4,22,Region_SNQPE
47,24,Region_SPZWL
34,8,Region_SWYBL
74,26,Region_TPGED
49,18,Region_TWNYK
29,8,Region_UCAVV
58,18,Region_UQOIF
75,14,Region_WBNNL
86,22,Region_WOLPW
42,3,Region_WUOSJ
5,16,Region_XMIPS
55,13,Region_XNWFX
27,9,Region_ZROII
60,12,Region_ZRTKH
14,10,Region_ZYTNP
