region_id,note_count,region_name
2,7,Region_AHAAY
36,2,Region_AHRWY
20,3,Region_AJEXY
70,1,Region_AOBCD
83,2,Region_ARKHX
66,2,Region_AUWGB
45,4,Region_BQVUF
88,3,Region_BRYHZ
95,2,Region_CPDQY
78,2,Region_CSEXF
89,2,Region_CVDZW
21,4,Region_DBQQD
62,3,Region_EJRQD
10,3,Region_EQKXB
93,1,Region_ERKOD
18,3,Region_ESGMR
65,1,Region_FXHEJ
44,2,Region_FYBCO
80,1,Region_GULPQ
13,1,Region_HJFQH
97,3,Region_HTZVE
87,3,Region_HUSXY
40,2,Region_IPEFY
92,4,Region_JSKEP
69,2,Region_JSRHX
82,2,Region_KHZDA
77,3,Region_KSOJL
51,3,Region_KYCBK
17,3,Region_LHOJR
6,1,Region_MTLZS
91,2,Region_MVDCD
53,5,Region_NEYEL
54,3,Region_NWQFM
9,1,Region_OFDLA
1,1,Region_OKRBB
85,1,Region_PBEVM
56,2,Region_PFAEL
71,2,Region_PJTJV
39,2,Region_PKEVQ
79,1,Region_RAMZW
52,3,Region_RUHQH
12,3,Region_RWGIA
72,2,Region_SFGOV
35,1,Region_SJXVF
47,1,Region_SPZWL
34,1,Region_SWYBL
74,2,Region_TPGED
33,2,Region_TYSCI
19,2,Region_UIVKD
48,2,Region_UKKPF
24,1,Region_UPRRE
58,2,Region_UQOIF
25,2,Region_UVCIN
16,3,Region_VBXUO
22,4,Region_VLRWK
75,2,Region_WBNNL
30,3,Region_XINXT
55,1,Region_XNWFX
43,6,Region_XXKDG
60,3,Region_ZRTKH
